Passenger ID,Age,Fare,Sex,No. of Siblings/Spouses,No. of Parents/Children,Passenger Class,Embarked,Survived
772,48,8,0,0,0,3,2,0
773,57,10,1,0,0,2,2,0
774,28,7,0,0,0,3,0,0
775,54,23,1,1,3,2,2,1
776,18,8,0,0,0,3,2,0
777,28,8,0,0,0,3,1,0
778,5,12,1,0,0,3,2,1
779,28,8,0,0,0,3,1,0
780,43,211,1,0,1,1,2,1
781,13,7,1,0,0,3,0,1
782,17,57,1,1,0,1,2,1
783,29,30,0,0,0,1,2,0
784,28,23,0,1,2,3,2,0
785,25,7,0,0,0,3,2,0
786,25,7,0,0,0,3,2,0
787,18,7,1,0,0,3,2,1
788,8,29,0,4,1,3,1,0
789,1,21,0,1,2,3,2,1
790,46,79,0,0,0,1,0,0
791,28,8,0,0,0,3,1,0
792,16,26,0,0,0,2,2,0
793,28,70,1,8,2,3,2,0
794,28,31,0,0,0,1,0,0
795,25,8,0,0,0,3,2,0
796,39,13,0,0,0,2,2,0
797,49,26,1,0,0,1,2,1
798,31,9,1,0,0,3,2,1
799,30,7,0,0,0,3,0,0
800,30,24,1,1,1,3,2,0
801,34,13,0,0,0,2,2,0
802,31,26,1,1,1,2,2,1
803,11,120,0,1,2,1,2,1
804,0,9,0,0,1,3,0,1
805,27,7,0,0,0,3,2,1
806,31,8,0,0,0,3,2,0
807,39,0,0,0,0,1,2,0
808,18,8,1,0,0,3,2,0
809,39,13,0,0,0,2,2,0
810,33,53,1,1,0,1,2,1
811,26,8,0,0,0,3,2,0
812,39,24,0,0,0,3,2,0
813,35,10,0,0,0,2,2,0
814,6,31,1,4,2,3,2,0
815,30,8,0,0,0,3,2,0
816,28,0,0,0,0,1,2,0
817,23,8,1,0,0,3,2,0
818,31,37,0,1,1,2,0,0
819,43,6,0,0,0,3,2,0
820,10,28,0,3,2,3,2,0
821,52,94,1,1,1,1,2,1
822,27,9,0,0,0,3,2,1
823,38,0,0,0,0,1,2,0
824,27,12,1,0,1,3,2,1
825,2,40,0,4,1,3,2,0
826,28,7,0,0,0,3,1,0
827,28,56,0,0,0,3,2,0
828,1,37,0,0,2,2,0,1
829,28,8,0,0,0,3,1,1
830,62,80,1,0,0,1,,1
831,15,14,1,1,0,3,0,1
832,1,19,0,1,1,2,2,1
833,28,7,0,0,0,3,0,0
834,23,8,0,0,0,3,2,0
835,18,8,0,0,0,3,2,0
836,39,83,1,1,1,1,0,1
837,21,9,0,0,0,3,2,0
838,28,8,0,0,0,3,2,0
839,32,56,0,0,0,3,2,1
840,28,30,0,0,0,1,0,1
841,20,8,0,0,0,3,2,0
842,16,10,0,0,0,2,2,0
843,30,31,1,0,0,1,0,1
844,34,6,0,0,0,3,0,0
845,17,9,0,0,0,3,2,0
846,42,8,0,0,0,3,2,0
847,28,70,0,8,2,3,2,0
848,35,8,0,0,0,3,0,0
849,28,33,0,0,1,2,2,0
850,28,89,1,1,0,1,0,1
851,4,31,0,4,2,3,2,0
852,74,8,0,0,0,3,2,0
853,9,15,1,1,1,3,0,0
854,16,39,1,0,1,1,2,1
855,44,26,1,1,0,2,2,0
856,18,9,1,0,1,3,2,1
857,45,165,1,1,1,1,2,1
858,51,27,0,0,0,1,2,1
859,24,19,1,0,3,3,0,1
860,28,7,0,0,0,3,0,0
861,41,14,0,2,0,3,2,0
862,21,12,0,1,0,2,2,0
863,48,26,1,0,0,1,2,1
864,28,70,1,8,2,3,2,0
865,24,13,0,0,0,2,2,0
866,42,13,1,0,0,2,2,1
867,27,14,1,1,0,2,0,1
868,31,50,0,0,0,1,2,0
869,28,10,0,0,0,3,2,0
870,4,11,0,1,1,3,2,1
871,26,8,0,0,0,3,2,0
872,47,53,1,1,1,1,2,1
873,33,5,0,0,0,1,2,0
874,47,9,0,0,0,3,2,0
875,28,24,1,1,0,2,0,1
876,15,7,1,0,0,3,0,1
877,20,10,0,0,0,3,2,0
878,19,8,0,0,0,3,2,0
879,28,8,0,0,0,3,2,0
880,56,83,1,0,1,1,0,1
881,25,26,1,0,1,2,2,1
882,33,8,0,0,0,3,2,0
883,22,11,1,0,0,3,2,0
884,28,10,0,0,0,2,2,0
885,25,7,0,0,0,3,2,0
886,39,29,1,0,5,3,1,0
887,27,13,0,0,0,2,2,0
888,19,30,1,0,0,1,2,1
889,28,23,1,1,2,3,2,0
890,26,30,0,0,0,1,0,1
891,32,8,0,0,0,3,1,0
892,34,8,0,0,0,3,1,0
893,47,7,1,1,0,3,2,0
894,62,10,0,0,0,2,1,0
895,27,9,0,0,0,3,2,0
896,22,12,1,1,1,3,2,0
897,14,9,0,0,0,3,2,0
898,30,8,1,0,0,3,1,0
899,26,29,0,1,1,2,2,0
900,18,7,1,0,0,3,0,0
901,21,24,0,2,0,3,2,0
902,28,8,0,0,0,3,2,0
903,46,26,0,0,0,1,2,0
904,23,82,1,1,0,1,2,0
905,63,26,0,1,0,2,2,0
906,47,61,1,1,0,1,2,0
907,24,28,1,1,0,2,0,0
908,35,12,0,0,0,2,1,0
909,21,7,0,0,0,3,0,0
910,27,8,1,1,0,3,2,0
911,45,7,1,0,0,3,0,0
912,55,59,0,1,0,1,0,0
913,9,3,0,0,1,3,2,0
914,28,32,1,0,0,1,2,0
915,21,61,0,0,1,1,0,0
916,48,262,1,1,3,1,0,0
917,50,14,0,1,0,3,2,0
918,22,62,1,0,1,1,0,0
919,22,7,0,0,0,3,0,0
920,41,30,0,0,0,1,2,0
921,28,22,0,2,0,3,0,0
922,50,26,0,1,0,2,2,0
923,24,32,0,2,0,2,2,0
924,33,21,1,1,2,3,2,0
925,28,23,1,1,2,3,2,0
926,30,58,0,1,0,1,0,0
927,18,7,0,0,0,3,0,0
928,28,8,1,0,0,3,2,0
929,21,9,1,0,0,3,2,0
930,25,10,0,0,0,3,2,0
931,28,56,0,0,0,3,2,0
932,39,13,0,0,1,3,0,0
933,28,27,0,0,0,1,2,0
934,41,8,0,0,0,3,2,0
935,30,13,1,0,0,2,2,0
936,45,53,1,1,0,1,2,0
937,25,8,0,0,0,3,2,0
938,45,30,0,0,0,1,0,0
939,28,8,0,0,0,3,1,0
940,60,76,1,0,0,1,0,0
941,36,16,1,0,2,3,2,0
942,24,60,0,1,0,1,2,0
943,27,15,0,0,0,2,0,0
944,20,23,1,2,1,2,2,0
945,28,263,1,3,2,1,2,0
946,28,16,0,0,0,2,0,0
947,10,29,0,4,1,3,1,0
948,35,8,0,0,0,3,2,0
949,25,8,0,0,0,3,2,0
950,28,16,0,1,0,3,2,0
951,36,262,1,0,0,1,0,0
952,17,8,0,0,0,3,2,0
953,32,14,0,0,0,2,2,0
954,18,8,0,0,0,3,2,0
955,22,8,1,0,0,3,1,0
956,13,262,0,2,2,1,0,0
957,28,21,1,0,0,2,2,0
958,18,8,1,0,0,3,1,0
959,47,42,0,0,0,1,2,0
960,31,29,0,0,0,1,0,0
961,60,263,1,1,4,1,2,0
962,24,8,1,0,0,3,1,0
963,21,8,0,0,0,3,2,0
964,29,8,1,0,0,3,2,0
965,28,28,0,0,0,1,0,0
966,35,212,1,0,0,1,0,0
967,32,212,0,0,0,1,0,0
968,28,8,0,0,0,3,2,0
969,55,26,1,2,0,1,2,0
970,30,13,0,0,0,2,2,0
971,24,8,1,0,0,3,1,0
972,6,15,0,1,1,3,0,0
973,67,222,0,1,0,1,2,0
974,49,26,0,0,0,1,2,0
975,28,8,0,0,0,3,2,0
976,28,11,0,0,0,2,1,0
977,28,14,0,1,0,3,0,0
978,27,8,1,0,0,3,1,0
979,18,8,1,0,0,3,2,0
980,28,8,1,0,0,3,1,0
981,2,23,0,1,1,2,2,0
982,22,14,1,1,0,3,2,0
983,28,8,0,0,0,3,2,0
984,27,52,1,1,2,1,2,0
985,28,8,0,0,0,3,2,0
986,25,26,0,0,0,1,0,0
987,25,8,0,0,0,3,2,0
988,76,79,1,1,0,1,2,0
989,29,8,0,0,0,3,2,0
990,20,8,1,0,0,3,2,0
991,33,8,0,0,0,3,2,0
992,43,55,1,1,0,1,0,0
993,27,26,0,1,0,2,2,0
994,28,8,0,0,0,3,1,0
995,26,8,0,0,0,3,2,0
996,16,9,1,1,1,3,0,0
997,28,23,0,0,0,3,2,0
998,21,8,0,0,0,3,1,0
999,28,8,0,0,0,3,1,0
1000,28,9,0,0,0,3,2,0
1001,18,13,0,0,0,2,2,0
1002,41,15,0,0,0,2,0,0
1003,28,8,1,0,0,3,1,0
1004,36,32,1,0,0,1,0,0
1005,18,7,1,0,0,3,1,0
1006,63,222,1,1,0,1,2,0
1007,18,14,0,1,0,3,0,0
1008,28,6,0,0,0,3,0,0
1009,1,17,1,1,1,3,2,0
1010,36,75,0,0,0,1,0,0
1011,29,26,1,1,0,2,2,0
1012,12,16,1,0,0,2,2,0
1013,28,8,0,1,0,3,1,0
1014,35,58,1,1,0,1,0,0
1015,28,7,0,0,0,3,2,0
1016,28,8,0,0,0,3,1,0
1017,17,16,1,0,1,3,2,0
1018,22,8,0,0,0,3,2,0
1019,28,23,1,2,0,3,1,0
1020,42,13,0,0,0,2,2,0
1021,24,8,0,0,0,3,2,0
1022,32,8,0,0,0,3,2,0
1023,53,28,0,0,0,1,0,0
1024,28,25,1,0,4,3,2,0
1025,28,6,0,1,0,3,0,0
1026,43,8,0,0,0,3,2,0
1027,24,8,0,0,0,3,2,0
1028,26,7,0,0,0,3,0,0
1029,26,13,0,0,0,2,2,0
1030,23,8,1,0,0,3,2,0
1031,40,47,0,1,6,3,2,0
1032,10,47,1,5,2,3,2,0
1033,33,152,1,0,0,1,2,0
1034,61,262,0,1,3,1,0,0
1035,28,26,0,0,0,2,2,0
1036,42,27,0,0,0,1,2,0
1037,31,18,0,3,0,3,2,0
1038,28,52,0,0,0,1,2,0
1039,22,8,0,0,0,3,2,0
1040,28,27,0,0,0,1,2,0
1041,30,26,0,1,1,2,2,0
1042,23,83,1,0,1,1,0,0
1043,28,8,0,0,0,3,0,0
1044,60,14,0,0,0,3,2,0
1045,36,12,1,0,2,3,2,0
1046,13,31,0,4,2,3,2,0
1047,24,8,0,0,0,3,2,0
1048,29,222,1,0,0,1,2,0
1049,23,8,1,0,0,3,2,0
1050,42,27,0,0,0,1,2,0
1051,26,14,1,0,2,3,2,0
1052,28,8,1,0,0,3,1,0
1053,7,15,0,1,1,3,0,0
1054,26,14,1,0,0,2,2,0
1055,28,7,0,0,0,3,2,0
1056,41,13,0,0,0,2,2,0
1057,26,22,1,1,1,3,2,0
1058,48,50,0,0,0,1,0,0
1059,18,34,0,2,2,3,2,0
1060,28,28,1,0,0,1,0,0
1061,22,9,1,0,0,3,2,0
1062,28,8,0,0,0,3,2,0
1063,27,7,0,0,0,3,0,0
1064,23,14,0,1,0,3,2,0
1065,28,7,0,0,0,3,0,0
1066,40,31,0,1,5,3,2,0
1067,15,39,1,0,2,2,2,0
1068,20,37,1,0,0,2,2,0
1069,54,55,0,1,0,1,0,0
1070,36,39,1,0,3,2,2,0
1071,64,83,1,0,2,1,0,0
1072,30,13,0,0,0,2,2,0
1073,37,83,0,1,1,1,0,0
1074,18,53,1,1,0,1,2,0
1075,28,8,0,0,0,3,1,0
1076,27,248,1,1,1,1,0,0
1077,40,16,0,0,0,2,2,0
1078,21,21,1,0,1,2,2,0
1079,17,8,0,2,0,3,2,0
1080,28,70,1,8,2,3,2,0
1081,40,13,0,0,0,2,2,0
1082,34,26,0,1,0,2,2,0
1083,28,26,0,0,0,1,2,0
1084,12,14,0,1,1,3,2,0
1085,61,12,0,0,0,2,1,0
1086,8,32,0,0,2,2,2,0
1087,33,8,0,0,0,3,2,0
1088,6,134,0,0,2,1,0,0
1089,18,8,1,0,0,3,2,0
1090,23,10,0,0,0,2,2,0
1091,28,8,1,0,0,3,2,0
1092,28,16,1,0,0,3,1,0
1093,0,14,0,0,2,3,2,0
1094,47,228,0,1,0,1,0,0
1095,8,26,1,1,1,2,2,0
1096,25,10,0,0,0,2,2,0
1097,28,26,0,0,0,1,0,0
1098,35,8,1,0,0,3,1,0
1099,24,10,0,0,0,2,2,0
1100,33,28,1,0,0,1,0,0
1101,25,8,0,0,0,3,2,0
1102,32,23,0,0,0,3,2,0
1103,28,7,0,0,0,3,2,0
1104,17,74,0,0,0,2,2,0
1105,60,26,1,1,0,2,2,0
1106,38,8,1,4,2,3,2,0
1107,42,42,0,0,0,1,2,0
1108,28,8,1,0,0,3,1,0
1109,57,165,0,1,1,1,2,0
1110,50,212,1,1,1,1,0,0
1111,28,8,0,0,0,3,2,0
1112,30,14,1,1,0,2,0,0
1113,21,8,0,0,0,3,2,0
1114,22,10,1,0,0,2,2,0
1115,21,8,0,0,0,3,2,0
1116,53,27,1,0,0,1,0,0
1117,28,15,1,0,2,3,0,0
1118,23,8,0,0,0,3,2,0
1119,28,8,1,0,0,3,1,0
1120,40,15,0,0,0,3,2,0
1121,36,13,0,0,0,2,2,0
1122,14,65,0,0,0,2,2,0
1123,21,27,1,0,0,1,2,0
1124,21,6,0,1,0,3,2,0
1125,28,8,0,0,0,3,1,0
1126,39,71,0,1,0,1,0,0
1127,20,8,0,0,0,3,2,0
1128,64,75,0,1,0,1,0,0
1129,20,7,0,0,0,3,0,0
1130,18,13,1,1,1,2,2,0
1131,48,106,1,1,0,1,0,0
1132,55,28,1,0,0,1,0,0
1133,45,30,1,0,2,2,2,0
1134,45,134,0,1,1,1,0,0
1135,28,8,0,0,0,3,2,0
1136,28,23,0,1,2,3,2,0
1137,41,52,0,1,0,1,2,0
1138,22,21,1,0,0,2,2,0
1139,42,32,0,1,1,2,2,0
1140,29,26,1,1,0,2,2,0
1141,28,14,1,1,0,3,0,0
1142,1,28,1,1,2,2,2,0
1143,20,8,0,0,0,3,2,0
1144,27,137,0,1,0,1,0,0
1145,24,9,0,0,0,3,2,0
1146,32,10,0,0,0,3,2,0
1147,28,8,0,0,0,3,2,0
1148,28,8,0,0,0,3,1,0
1149,28,8,0,0,0,3,2,0
1150,19,13,1,0,0,2,2,0
1151,21,8,0,0,0,3,2,0
1152,36,17,0,1,0,3,2,0
1153,21,8,0,0,0,3,2,0
1154,29,23,1,0,2,2,2,0
1155,1,12,1,1,1,3,2,0
1156,30,13,0,0,0,2,0,0
1157,28,8,0,0,0,3,2,0
1158,28,0,0,0,0,1,2,0
1159,28,8,0,0,0,3,2,0
1160,28,8,1,0,0,3,2,0
1161,17,9,0,0,0,3,2,0
1162,46,75,0,0,0,1,0,0
1163,28,8,0,0,0,3,1,0
1164,26,137,1,1,0,1,0,0
1165,28,16,1,1,0,3,1,0
1166,28,7,0,0,0,3,0,0
1167,20,26,1,1,0,2,2,0
1168,28,10,0,0,0,2,2,0
1169,40,26,0,1,0,2,2,0
1170,30,21,0,1,0,2,2,0
1171,22,10,0,0,0,2,2,0
1172,23,9,1,0,0,3,2,0
1173,1,14,0,1,1,3,2,0
1174,28,8,1,0,0,3,1,0
1175,9,15,1,1,1,3,0,0
1176,2,20,1,1,1,3,2,0
1177,36,7,0,0,0,3,2,0
1178,28,7,0,0,0,3,2,0
1179,24,82,0,1,0,1,2,0
1180,28,7,0,0,0,3,0,0
1181,28,8,0,0,0,3,2,0
1182,28,40,0,0,0,1,2,0
1183,30,7,1,0,0,3,1,0
1184,28,7,0,0,0,3,0,0
1185,53,82,0,1,1,1,2,0
1186,36,10,0,0,0,3,2,0
1187,26,8,0,0,0,3,2,0
1188,1,42,1,1,2,2,0,0
1189,28,22,0,2,0,3,0,0
1190,30,46,0,0,0,1,2,0
1191,29,8,0,0,0,3,2,0
1192,32,8,0,0,0,3,2,0
1193,28,15,0,0,0,2,0,0
1194,43,21,0,0,1,2,2,0
1195,24,9,0,0,0,3,2,0
1196,28,8,1,0,0,3,1,0
1197,64,27,1,1,1,1,2,0
1198,30,152,0,1,2,1,2,0
1199,1,9,0,0,1,3,2,0
1200,55,94,0,1,1,1,2,0
1201,45,14,1,1,0,3,2,0
1202,18,9,0,0,0,3,2,0
1203,22,7,0,0,0,3,0,0
1204,28,8,0,0,0,3,2,0
1205,37,8,1,0,0,3,1,0
1206,55,136,1,0,0,1,0,0
1207,17,8,1,0,0,3,1,0
1208,57,147,0,1,0,1,0,0
1209,19,10,0,0,0,2,2,0
1210,27,8,0,0,0,3,2,0
1211,22,32,0,2,0,2,2,0
1212,26,8,0,0,0,3,2,0
1213,25,7,0,0,0,3,0,0
1214,26,13,0,0,0,2,2,0
1215,33,27,0,0,0,1,2,0
1216,39,211,1,0,0,1,2,0
1217,23,7,0,0,0,3,2,0
1218,12,39,1,2,1,2,2,0
1219,46,79,0,0,0,1,0,0
1220,29,26,0,1,0,2,2,0
1221,21,13,0,0,0,2,2,0
1222,48,37,1,0,2,2,2,0
1223,39,30,0,0,0,1,0,0
1224,28,7,0,0,0,3,0,0
1225,19,16,1,1,1,3,0,0
1226,27,8,0,0,0,3,2,0
1227,30,26,0,0,0,1,2,0
1228,32,13,0,0,0,2,2,0
1229,39,7,0,0,2,3,0,0
1230,25,32,0,0,0,2,2,0
1231,28,7,0,0,0,3,0,0
1232,18,10,0,0,0,2,2,0
1233,32,8,0,0,0,3,2,0
1234,28,70,0,1,9,3,2,0
1235,58,512,1,0,1,1,0,0
1236,28,14,0,1,1,3,2,0
1237,16,8,1,0,0,3,2,0
1238,26,13,0,0,0,2,2,0
1239,38,7,1,0,0,3,0,0
1240,24,14,0,0,0,2,2,0
1241,31,21,1,0,0,2,2,0
1242,45,63,1,0,1,1,0,0
1243,25,10,0,0,0,2,2,0
1244,18,74,0,0,0,2,2,0
1245,49,65,0,1,2,2,2,0
1246,0,21,1,1,2,3,2,0
1247,50,26,0,0,0,1,2,0
1248,59,51,1,2,0,1,2,0
1249,28,8,0,0,0,3,2,0
1250,28,8,0,0,0,3,1,0
1251,30,16,1,1,0,3,2,0
1252,14,70,0,8,2,3,2,0
1253,24,37,1,1,1,2,0,0
1254,31,21,1,0,0,2,2,0
1255,27,9,0,0,0,3,2,0
1256,25,55,1,1,0,1,0,0
1257,28,70,1,1,9,3,2,0
1258,28,14,0,1,0,3,0,0
1259,22,40,1,0,0,3,2,0
1260,45,59,1,0,1,1,0,0
1261,29,14,0,0,0,2,0,0
1262,21,12,0,1,0,2,2,0
1263,31,134,1,0,0,1,0,0
1264,49,0,0,0,0,1,2,0
1265,44,13,0,0,0,2,2,0
1266,54,82,1,1,1,1,2,0
1267,45,262,1,0,0,1,0,0
1268,22,9,1,2,0,3,2,0
1269,21,12,0,0,0,2,2,0
1270,55,50,0,0,0,1,2,0
1271,5,31,0,4,2,3,2,0
1272,28,8,0,0,0,3,1,0
1273,26,8,0,0,0,3,1,0
1274,28,14,1,0,0,3,2,0
1275,19,16,1,1,0,3,2,0
1276,28,13,0,0,0,2,2,0
1277,24,65,1,1,2,2,2,0
1278,24,8,0,0,0,3,2,0
1279,57,13,0,0,0,2,2,0
1280,21,8,0,0,0,3,1,0
1281,6,21,0,3,1,3,2,0
1282,23,94,0,0,0,1,2,0
1283,51,39,1,0,1,1,2,0
1284,13,20,0,0,2,3,2,0
1285,47,10,0,0,0,2,2,0
1286,29,22,0,3,1,3,2,0
1287,18,60,1,1,0,1,2,0
1288,24,7,0,0,0,3,1,0
1289,48,79,1,1,1,1,0,0
1290,22,8,0,0,0,3,2,0
1291,31,8,0,0,0,3,1,0
1292,30,165,1,0,0,1,2,0
1293,38,21,0,1,0,2,2,0
1294,22,59,1,0,1,1,0,0
1295,17,47,0,0,0,1,2,0
1296,43,28,0,1,0,1,0,0
1297,20,14,0,0,0,2,0,0
1298,23,10,0,1,0,2,2,0
1299,50,212,0,1,1,1,0,0
1300,28,8,1,0,0,3,1,0
1301,3,14,1,1,1,3,2,0
1302,28,8,1,0,0,3,1,0
1303,37,90,1,1,0,1,1,0
1304,28,8,1,0,0,3,2,0
1305,28,8,0,0,0,3,2,0
1306,39,109,1,0,0,1,0,0
1307,38,7,0,0,0,3,2,0
1308,28,8,0,0,0,3,2,0
1309,28,22,0,1,1,3,0,0
